,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
57090,942357992148802424,https://www.airbnb.com/rooms/942357992148802424,33312324,100,t,Popincourt,48.86938,2.37317,Private room,4,1.0,1.0,2.0,159.0,1,10,t,38,5.0,Fair,Paris 11ème
57099,942716754851630292,https://www.airbnb.com/rooms/942716754851630292,9929463,100,f,Buttes-Montmartre,48.89421,2.33464,Entire home/apt,2,1.0,1.0,2.0,154.0,3,365,t,2,5.0,Fair,Paris 18ème
57121,942534585721207470,https://www.airbnb.com/rooms/942534585721207470,1479816,100,f,Louvre,48.8671667,2.3264959,Entire home/apt,2,1.0,1.0,1.0,78.0,30,300,t,1,5.0,Low-cost,Paris 1er
57122,942540444891050230,https://www.airbnb.com/rooms/942540444891050230,217450638,100,f,Élysée,48.8751144,2.3054206,Entire home/apt,2,1.0,1.0,2.0,267.0,3,365,t,2,5.0,Premium,Paris 8ème
57129,943442635608740942,https://www.airbnb.com/rooms/943442635608740942,3125377,100,t,Popincourt,48.8706463,2.3734536,Entire home/apt,2,1.0,1.0,1.0,140.0,2,365,t,11,5.0,Fair,Paris 11ème
57181,943564613039603182,https://www.airbnb.com/rooms/943564613039603182,253693734,100,f,Vaugirard,48.85066,2.28463,Entire home/apt,2,1.0,1.0,1.0,105.0,2,30,t,3,5.0,Fair,Paris 15ème
57207,943897765410074596,https://www.airbnb.com/rooms/943897765410074596,46208220,100,f,Buttes-Montmartre,48.89521,2.34517,Entire home/apt,2,1.0,0.0,1.0,104.0,2,120,t,9,5.0,Fair,Paris 18ème
57215,943198561191963323,https://www.airbnb.com/rooms/943198561191963323,85449296,100,f,Palais-Bourbon,48.8502671,2.3179015,Entire home/apt,4,1.0,1.0,1.0,275.0,2,365,t,1,5.0,Premium,Paris 7ème
57221,944070409155776604,https://www.airbnb.com/rooms/944070409155776604,25733251,100,f,Popincourt,48.8634944,2.37856,Entire home/apt,4,1.0,2.0,3.0,360.0,1,28,t,1,5.0,Premium,Paris 11ème
57256,943963864621935172,https://www.airbnb.com/rooms/943963864621935172,58878565,100,f,Buttes-Montmartre,48.88335586649462,2.3426411085983245,Entire home/apt,2,1.0,0.0,1.0,334.0,3,90,t,1,5.0,Premium,Paris 18ème
57260,943252342378552426,https://www.airbnb.com/rooms/943252342378552426,11593703,99,f,Batignolles-Monceau,48.8846368,2.2903927,Entire home/apt,2,1.0,1.0,1.0,107.0,2,1125,t,1,5.0,Fair,Paris 17ème
57284,944125684183840698,https://www.airbnb.com/rooms/944125684183840698,33313529,100,f,Louvre,48.85902,2.3413,Entire home/apt,2,1.0,1.0,1.0,135.0,1,365,t,1,5.0,Fair,Paris 1er
57287,944131310268640191,https://www.airbnb.com/rooms/944131310268640191,87812632,100,f,Ménilmontant,48.87208149949048,2.3819685850330354,Entire home/apt,3,1.0,1.0,1.0,99.0,3,365,t,1,5.0,Low-cost,Paris 20ème
57290,943980250757836706,https://www.airbnb.com/rooms/943980250757836706,245169131,100,f,Batignolles-Monceau,48.8898,2.30327,Entire home/apt,6,2.0,4.0,5.0,249.0,5,60,t,4,5.0,Fair,Paris 17ème
57296,943998157239093920,https://www.airbnb.com/rooms/943998157239093920,455182650,100,f,Vaugirard,48.84217154010789,2.280266247689724,Private room,1,1.0,1.0,1.0,1000.0,1,4,t,1,5.0,Luxury,Paris 15ème
57298,944669447842070893,https://www.airbnb.com/rooms/944669447842070893,70912244,100,t,Observatoire,48.83718571735538,2.320389922753896,Entire home/apt,5,2.5,3.0,3.0,434.0,5,30,t,16,5.0,Premium,Paris 14ème
57362,944253426204927510,https://www.airbnb.com/rooms/944253426204927510,72291822,100,f,Entrepôt,48.87096298561536,2.368806973099709,Entire home/apt,4,1.0,1.0,2.0,107.0,2,365,t,4,5.0,Fair,Paris 10ème
57384,944786049536857065,https://www.airbnb.com/rooms/944786049536857065,380457643,100,f,Entrepôt,48.8785,2.3515,Entire home/apt,3,1.0,1.0,3.0,500.0,2,31,t,5,5.0,Luxury,Paris 10ème
57392,944310766833720428,https://www.airbnb.com/rooms/944310766833720428,14965781,100,f,Popincourt,48.8641086,2.3796542,Entire home/apt,4,1.5,2.0,2.0,223.0,3,30,t,2,5.0,Fair,Paris 11ème
57398,944356640172874866,https://www.airbnb.com/rooms/944356640172874866,68386858,100,f,Buttes-Montmartre,48.89533622921672,2.337946482002735,Entire home/apt,2,1.0,1.0,1.0,214.0,6,365,t,1,5.0,Fair,Paris 18ème
57407,944801747390454775,https://www.airbnb.com/rooms/944801747390454775,17005220,100,f,Entrepôt,48.87316439657051,2.3480532691614253,Entire home/apt,2,1.0,1.0,1.0,266.0,3,365,t,1,5.0,Premium,Paris 10ème
57422,944607415310097489,https://www.airbnb.com/rooms/944607415310097489,385139008,100,f,Bourse,48.866907,2.3441909,Entire home/apt,3,1.5,1.0,1.0,300.0,5,20,t,13,5.0,Premium,Paris 2ème
57424,944618557547844427,https://www.airbnb.com/rooms/944618557547844427,92696464,100,f,Buttes-Montmartre,48.8956128996427,2.344203651602388,Entire home/apt,2,1.0,1.0,2.0,100.0,4,120,t,3,5.0,Fair,Paris 18ème
