id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom,experience,airbnb_monument,dep,adresse,nomcom,insee,name,category
1.183923482122424e+18,https://www.airbnb.com/rooms/1183923482122423974,566009350.0,100.0,f,Vaugirard,48.84582349999999,2.2958533,Entire home/apt,4.0,1.0,2.0,2.0,149.0,1.0,365.0,t,1.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
1.1845578586023334e+18,https://www.airbnb.com/rooms/1184557858602333320,584981111.0,100.0,f,Gobelins,48.8320345,2.3512112,Entire home/apt,4.0,1.0,1.0,2.0,160.0,4.0,10.0,t,1.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.183676859900428e+18,https://www.airbnb.com/rooms/1183676859900427982,35967786.0,100.0,f,Vaugirard,48.84320221981003,2.300894446671009,Private room,1.0,0.5,1.0,1.0,100.0,1.0,365.0,t,1.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
1.183766465274544e+18,https://www.airbnb.com/rooms/1183766465274544209,584783444.0,100.0,f,Gobelins,48.82447,2.3605,Entire home/apt,4.0,1.0,1.0,2.0,110.0,3.0,50.0,t,2.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.183939848354065e+18,https://www.airbnb.com/rooms/1183939848354064908,561992453.0,100.0,f,Passy,48.8659167,2.2917691,Entire home/apt,3.0,1.0,1.0,1.0,180.0,1.0,365.0,t,7.0,5.0,Fair,Paris 16ème,Cultural,airbnb,,,,,airbnb,
1.1846711112390692e+18,https://www.airbnb.com/rooms/1184671111239069060,581652988.0,100.0,f,Reuilly,48.8362807,2.403316,Entire home/apt,4.0,1.0,1.0,2.0,155.0,2.0,1125.0,t,2.0,5.0,Fair,Paris 12ème,,airbnb,,,,,airbnb,
1.1846924936853975e+18,https://www.airbnb.com/rooms/1184692493685397422,585015152.0,100.0,f,Popincourt,48.86740097927074,2.371635773549728,Entire home/apt,6.0,1.0,2.0,3.0,225.0,2.0,120.0,t,1.0,5.0,Fair,Paris 11ème,Nightlife,airbnb,,,,,airbnb,
1.1839796967997496e+18,https://www.airbnb.com/rooms/1183979696799749591,584454049.0,100.0,f,Gobelins,48.836361,2.347791,Entire home/apt,4.0,1.0,1.0,2.0,165.0,1.0,1125.0,t,1.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
1.1840264961844147e+18,https://www.airbnb.com/rooms/1184026496184414687,71211677.0,100.0,f,Vaugirard,48.85037,2.29435,Entire home/apt,2.0,1.0,1.0,1.0,200.0,1.0,365.0,t,1.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
1.1854239397458606e+18,https://www.airbnb.com/rooms/1185423939745860506,505445523.0,100.0,f,Passy,48.87183947086663,2.292325046418676,Entire home/apt,2.0,1.0,1.0,1.0,230.0,1.0,365.0,t,1.0,5.0,Fair,Paris 16ème,Cultural,airbnb,,,,,airbnb,
1.1840292766878548e+18,https://www.airbnb.com/rooms/1184029276687854898,61151889.0,100.0,f,Vaugirard,48.852065775799474,2.2908429884736004,Entire home/apt,6.0,1.0,3.0,4.0,380.0,3.0,12.0,t,4.0,5.0,Premium,Paris 15ème,,airbnb,,,,,airbnb,
1.1854792031883615e+18,https://www.airbnb.com/rooms/1185479203188361494,1186408.0,99.0,t,Observatoire,48.82553,2.34036,Entire home/apt,4.0,1.0,1.0,2.0,160.0,1.0,365.0,t,1.0,5.0,Fair,Paris 14ème,,airbnb,,,,,airbnb,
1.1841215279116913e+18,https://www.airbnb.com/rooms/1184121527911691203,303419115.0,100.0,f,Buttes-Chaumont,48.88522,2.3676,Entire home/apt,4.0,1.0,1.0,1.0,101.0,1.0,365.0,t,3.0,5.0,Fair,Paris 19ème,Nightlife,airbnb,,,,,airbnb,
1.1844691401472415e+18,https://www.airbnb.com/rooms/1184469140147241579,6736295.0,100.0,t,Ménilmontant,48.85273633438749,2.4076552780705374,Private room,2.0,1.0,1.0,1.0,50.0,1.0,365.0,t,2.0,5.0,Low-cost,Paris 20ème,,airbnb,,,,,airbnb,
1.184881860646011e+18,https://www.airbnb.com/rooms/1184881860646010833,311990206.0,100.0,f,Gobelins,48.8357716,2.3506999,Entire home/apt,2.0,1.0,2.0,2.0,249.0,7.0,365.0,t,1.0,5.0,Fair,Paris 13ème,,airbnb,,,,,airbnb,
